iter	Passed	Remaining
0	7	3166
1	15	3102
2	23	3132
3	30	3029
4	37	2983
5	45	2969
6	53	2976
7	60	2942
8	66	2894
9	73	2860
10	79	2813
11	86	2775
12	92	2758
13	99	2732
14	106	2717
15	112	2685
16	118	2662
17	124	2644
18	131	2627
19	137	2609
20	144	2601
21	150	2580
22	156	2561
23	163	2547
24	169	2541
25	177	2551
26	186	2563
27	194	2580
28	202	2583
29	211	2603
30	219	2606
31	227	2613
32	235	2611
33	243	2609
34	251	2615
35	259	2619
36	268	2626
37	276	2624
38	284	2626
39	292	2625
40	300	2623
41	307	2617
42	315	2614
43	323	2608
44	331	2606
45	338	2596
46	345	2585
47	352	2577
48	359	2567
49	365	2552
50	372	2539
51	378	2527
52	385	2516
53	392	2504
54	398	2490
55	404	2478
56	411	2466
57	417	2453
58	423	2442
59	430	2431
60	436	2419
61	445	2421
62	452	2413
63	459	2407
64	467	2399
65	473	2391
66	481	2387
67	489	2380
68	496	2375
69	504	2368
70	510	2356
71	516	2345
72	522	2334
73	528	2323
74	535	2313
75	541	2303
76	548	2292
77	554	2280
78	560	2269
79	566	2258
80	572	2247
81	578	2237
82	585	2227
83	591	2217
84	597	2208
85	604	2198
86	610	2191
87	618	2184
88	624	2174
89	630	2166
90	637	2156
91	643	2148
92	650	2140
93	656	2131
94	663	2123
95	670	2117
96	677	2109
97	684	2103
98	691	2094
99	697	2086
100	705	2080
101	711	2071
102	718	2065
103	725	2056
104	731	2049
105	738	2041
106	745	2033
107	751	2026
108	758	2019
109	765	2010
110	771	2001
111	777	1992
112	783	1983
113	790	1976
114	796	1967
115	803	1959
116	809	1950
117	815	1942
118	822	1934
119	828	1926
120	834	1917
121	841	1909
122	847	1902
123	855	1896
124	861	1888
125	868	1881
126	875	1875
127	881	1866
128	888	1859
129	895	1852
130	901	1844
131	908	1836
132	914	1828
133	920	1820
134	927	1814
135	934	1806
136	940	1798
137	946	1790
138	953	1782
139	959	1775
140	966	1768
141	972	1760
142	979	1754
143	986	1746
144	992	1738
145	999	1731
146	1006	1725
147	1012	1717
148	1019	1711
149	1025	1703
150	1032	1696
151	1039	1689
152	1046	1682
153	1053	1675
154	1059	1668
155	1066	1661
156	1072	1653
157	1079	1646
158	1086	1639
159	1092	1632
160	1099	1624
161	1105	1616
162	1111	1609
163	1118	1602
164	1124	1595
165	1131	1588
166	1138	1582
167	1146	1575
168	1152	1568
169	1158	1560
170	1164	1552
171	1171	1546
172	1178	1538
173	1185	1532
174	1191	1525
175	1197	1517
176	1204	1510
177	1210	1503
178	1217	1496
179	1223	1489
180	1230	1481
181	1236	1474
182	1244	1468
183	1251	1462
184	1258	1455
185	1265	1449
186	1271	1441
187	1278	1434
188	1284	1427
189	1291	1420
190	1297	1413
191	1304	1406
192	1310	1398
193	1316	1391
194	1323	1384
195	1329	1377
196	1336	1369
197	1342	1362
198	1348	1355
199	1355	1348
200	1361	1341
201	1368	1334
202	1374	1327
203	1380	1319
204	1387	1312
205	1393	1305
206	1400	1298
207	1407	1292
208	1413	1284
209	1419	1277
210	1425	1270
211	1434	1265
212	1440	1258
213	1447	1251
214	1454	1244
215	1460	1237
216	1466	1230
217	1473	1223
218	1479	1216
219	1485	1208
220	1492	1201
221	1498	1194
222	1504	1187
223	1511	1180
224	1518	1174
225	1524	1167
226	1531	1160
227	1537	1153
228	1543	1146
229	1550	1138
230	1556	1131
231	1562	1124
232	1569	1118
233	1575	1111
234	1582	1104
235	1589	1097
236	1595	1090
237	1602	1084
238	1609	1077
239	1615	1070
240	1622	1063
241	1628	1056
242	1634	1049
243	1641	1042
244	1647	1035
245	1653	1028
246	1660	1021
247	1666	1014
248	1673	1008
249	1680	1001
250	1686	994
251	1693	987
252	1699	980
253	1706	973
254	1713	967
255	1720	960
256	1726	954
257	1733	947
258	1739	940
259	1745	933
260	1751	926
261	1758	919
262	1765	912
263	1772	906
264	1778	899
265	1784	892
266	1791	885
267	1798	878
268	1804	872
269	1810	865
270	1816	858
271	1823	851
272	1829	844
273	1836	837
274	1843	831
275	1849	824
276	1855	817
277	1862	810
278	1868	803
279	1875	796
280	1881	789
281	1887	783
282	1894	776
283	1901	769
284	1908	763
285	1915	756
286	1921	749
287	1927	743
288	1934	736
289	1940	729
290	1947	722
291	1953	715
292	1959	708
293	1965	701
294	1972	695
295	1978	688
296	1985	681
297	1991	675
298	1998	668
299	2004	661
300	2010	654
301	2017	647
302	2023	641
303	2029	634
304	2035	627
305	2042	620
306	2048	613
